street_name,long_snode,lat_snode,long_enode,lat_enode,full_geometry,maxspeed_kmh,oneway,highway_type
Tắc Xuất,106.959312,10.4197402,106.9634304,10.4123494,"10.4197402,106.959312;10.4188165,106.9599185;10.4176755,106.9606512;10.4170508,106.9610421;10.4166468,106.9612372;10.4164277,106.9612883;10.4161734,106.9613057;10.4158773,106.9613257;10.4156136,106.9613577;10.4148929,106.9613992;10.4147317,106.9614111;10.4145064,106.96149;10.4142503,106.9616327;10.4134265,106.9622646;10.4130732,106.9626357;10.4128901,106.9628494;10.4127474,106.9630035;10.4126618,106.963093;10.4123494,106.9634304",,,secondary
Đường số 10,106.9481272,10.4020567,106.9470092,10.4081827,"10.4020567,106.9481272;10.404524,106.9476593;10.4046007,106.9476455;10.4081827,106.9470092",,,tertiary
Lương Văn Nho,106.9630035,10.4127474,106.9469948,10.408267,"10.4127474,106.9630035;10.4124606,106.9619904;10.4120546,106.9605314;10.4115494,106.9586923;10.4107847,106.9559084;10.4104593,106.9547237;10.4104216,106.9546136;10.4103815,106.9544961;10.410305,106.9542725;10.4100848,106.9534656;10.4098453,106.9526258;10.4096014,106.9516768;10.4091843,106.9502583;10.4088333,106.9490009;10.4087559,106.9487297;10.408267,106.9469948",,yes,secondary
way_32565373,106.7695539,10.4712529,106.7675077,10.5331746,"10.4712529,106.7695539;10.4718261,106.7700965;10.4722896,106.7705252;10.4725317,106.7707398;10.4769088,106.774725;10.4769906,106.7747772;10.4770427,106.7748014;10.4771778,106.7748148;10.477299,106.7748079;10.4773994,106.7747888;10.4775318,106.7747113;10.477876,106.7744396;10.4785021,106.7739363;10.4786215,106.7738166;10.4787717,106.7736059;10.4791303,106.7730944;10.4793533,106.7727754;10.4795862,106.7724135;10.4798332,106.771886;10.4803095,106.7708924;10.4805912,106.7702541;10.4807416,106.7698972;10.4811184,106.7690609;10.4813347,106.7686239;10.4815115,106.7683729;10.4818091,106.7681462;10.4825341,106.7675779;10.4829959,106.7672391;10.4836648,106.7666986;10.4841635,106.7663614;10.4850535,106.7660992;10.4855648,106.7661238;10.4860364,106.7661376;10.4862425,106.766121;10.4865354,106.7660974;10.487232,106.765841;10.4890946,106.7651296;10.489565,106.7648292;10.4898577,106.7644564;10.4904877,106.7637274;10.4910772,106.7630512;10.4913857,106.7628222;10.4930528,106.7623658;10.4933607,106.7622712;10.4941924,106.7620157;10.4958994,106.7614;10.4979921,106.7606509;10.4994409,106.7604907;10.4996413,106.7604777;10.4998312,106.7605303;10.5000172,106.7606608;10.5053465,106.7656861;10.5053838,106.7657108;10.5054648,106.7657523;10.5055685,106.7657853;10.5056994,106.7657917;10.5058504,106.7657936;10.508749,106.765512;10.5099514,106.7654168;10.5108615,106.7653275;10.5111074,106.7653344;10.5116116,106.765427;10.5122239,106.7655309;10.5124695,106.765581;10.5126864,106.7655935;10.5128869,106.7655569;10.5131841,106.7654928;10.5147697,106.76515;10.5150936,106.7650931;10.5167057,106.7646902;10.5168754,106.7646698;10.5170835,106.7646717;10.5178509,106.7647838;10.5185561,106.7648809;10.5191183,106.7649677;10.5192734,106.7650081;10.5194187,106.7650901;10.5216966,106.7666859;10.5241829,106.7684051;10.524593,106.7686891;10.5247191,106.7687538;10.5248393,106.7687861;10.5249777,106.7688138;10.5250998,106.7688138;10.5268426,106.7685412;10.5296987,106.7680889;10.5304082,106.7679548;10.5316828,106.7677295;10.5329223,106.7675278;10.5331746,106.7675077",,,tertiary
Chu Văn An,106.7042583,10.8111415,106.7045789,10.8111693,"10.8111415,106.7042583;10.8111447,106.7042949;10.8111693,106.7045789",,,tertiary
Nguyễn Văn Bá,106.7682265,10.8406293,106.7697282,10.8432945,"10.8406293,106.7682265;10.8415112,106.7687234;10.8424293,106.7692406;10.8428023,106.7694508;10.8432945,106.7697282",,,secondary
Nguyễn Thị Nhỏ,106.6525092,10.7689823,106.6525035,10.7694154,"10.7689823,106.6525092;10.7693581,106.6525342;10.7694154,106.6525035",,yes,secondary
Đường số 5,106.7619223,10.8787159,106.7679908,10.8806439,"10.8787159,106.7619223;10.878784,106.7621522;10.8790721,106.7629126;10.8792245,106.7633536;10.8792332,106.7633787;10.8793121,106.7635958;10.8794648,106.7640172;10.879546,106.7642377;10.8796503,106.7645386;10.8798816,106.765123;10.8799049,106.765186;10.880042,106.7656383;10.8800648,106.7657251;10.880127,106.7659615;10.8801536,106.7660545;10.88042,106.7670944;10.8804405,106.7671702;10.8806439,106.7679908",,,secondary
Đường Châu Văn Liêm,106.6592362,10.7508838,106.6590339,10.7520165,"10.7508838,106.6592362;10.7510488,106.6592067;10.7518418,106.6590663;10.7520165,106.6590339",50,yes,primary
Lê Văn Thịnh,106.7657064,10.7765669,106.7690992,10.7885118,"10.7765669,106.7657064;10.7769125,106.7659642;10.7771062,106.7661372;10.7772249,106.7662617;10.7772928,106.7663968;10.7773189,106.7668351;10.7773305,106.7670225;10.7773433,106.7672295;10.7773722,106.7676993;10.7774112,106.7679118;10.7775413,106.7686143;10.7775783,106.7688157;10.7776673,106.7688803;10.777854,106.7688885;10.777901,106.7688886;10.7783947,106.7688522;10.7785113,106.7688436;10.7788217,106.7688224;10.7792722,106.7687916;10.7794806,106.7687938;10.7797359,106.768807;10.7800344,106.7688637;10.7802304,106.7689667;10.7807997,106.7694395;10.7809076,106.7694894;10.7811987,106.7695447;10.7819038,106.769449;10.7821201,106.7694312;10.7826236,106.7693564;10.7828399,106.7692971;10.783268,106.7692381;10.7838095,106.76917;10.7844749,106.7690107;10.7852642,106.7688602;10.7857137,106.7689393;10.7860467,106.7689879;10.7862653,106.7690197;10.7867029,106.7690835;10.7869073,106.7691133;10.7870919,106.7691402;10.7872662,106.7691656;10.7873946,106.7691843;10.7878726,106.7691769;10.7881151,106.7691474;10.7885118,106.7690992",,,tertiary
Ba Đình,106.6626087,10.7455359,106.6686504,10.7480795,"10.7455359,106.6626087;10.7456273,106.6626949;10.7457295,106.6627914;10.7458501,106.6628959;10.745899,106.6629409;10.746059,106.6630851;10.7461888,106.6631995;10.7462682,106.6633125;10.7463381,106.6634654;10.7463816,106.6635889;10.7464102,106.6636701;10.7464536,106.6637947;10.7464787,106.6638668;10.7465319,106.6640323;10.7465387,106.6640503;10.7465816,106.6641646;10.7466027,106.6642287;10.7466606,106.6644039;10.74671,106.6645522;10.7467784,106.6647545;10.7468044,106.6648294;10.7468978,106.6651003;10.7469699,106.6653065;10.747006,106.6654154;10.7470184,106.6654539;10.7471229,106.6657648;10.7472627,106.6661856;10.7473156,106.6663463;10.7473825,106.6665564;10.7473922,106.6665879;10.7474112,106.6666773;10.747467,106.6668616;10.7475226,106.6670523;10.7475768,106.6672318;10.7475996,106.6673;10.7476067,106.6673166;10.7476387,106.6674238;10.7476535,106.6674616;10.747732,106.6676768;10.747805,106.6678776;10.7478241,106.6679214;10.747835,106.6679517;10.7478768,106.6680707;10.7479666,106.6683117;10.7480795,106.6686504",50,,tertiary
Nguyễn Văn Linh,106.7223803,10.7336471,106.7246083,10.7334267,"10.7336471,106.7223803;10.7336059,106.72321;10.7335927,106.7234876;10.73359,106.723641;10.7335755,106.723815;10.7335295,106.7241484;10.73348,106.7244016;10.7334385,106.7245493;10.7334267,106.7246083",60,yes,primary_link
An Phú Tây - Hưng Long,106.5939157,10.6874021,106.60121,10.6858847,"10.6874021,106.5939157;10.6873835,106.5939614;10.6872685,106.5942429;10.6872507,106.5942865;10.6868343,106.595332;10.6868242,106.5953573;10.6866391,106.5957606;10.6864177,106.5961606;10.686398,106.5961969;10.6861512,106.5966525;10.6861093,106.5967299;10.6858565,106.5971964;10.6856535,106.5976183;10.6856075,106.5977145;10.6855998,106.5980493;10.6856023,106.5981156;10.6856059,106.5983194;10.6856118,106.5983651;10.6856233,106.5986679;10.6856357,106.5988499;10.6856622,106.599204;10.6856986,106.5996587;10.6857288,106.5998352;10.6857795,106.599977;10.6858917,106.6002908;10.6859527,106.6005035;10.6859616,106.600751;10.6859232,106.6009802;10.6858847,106.60121",,,tertiary
Đường 18E,106.6553237,10.8097416,106.6554071,10.8105412,"10.8097416,106.6553237;10.8103531,106.6553826;10.8105412,106.6554071",,yes,tertiary
Nguyễn Khoái,106.6928591,10.7578703,106.695445,10.753022,"10.7578703,106.6928591;10.7577754,106.6929103;10.7575793,106.693016;10.7574714,106.6930741;10.7570751,106.6932878;10.7568371,106.6934161;10.7567482,106.693464;10.7562474,106.6937339;10.7561987,106.6937601;10.7558808,106.6939315;10.7557604,106.6939964;10.7557016,106.694028;10.7553394,106.6942233;10.7551356,106.6943331;10.7549923,106.6944103;10.7549175,106.6944506;10.7546431,106.6945985;10.7545517,106.6946478;10.754171,106.694853;10.7541151,106.6948831;10.7537015,106.6951061;10.7534949,106.6952174;10.7534207,106.6952574;10.7533848,106.6952767;10.7533584,106.695291;10.7531906,106.6953814;10.7531369,106.6954086;10.7530807,106.6954298;10.753022,106.695445",50,,tertiary
Thích Thiện Hoà,106.5097497,10.7369779,106.5102472,10.7367554,"10.7369779,106.5097497;10.7367554,106.5102472",,,tertiary
